Universidad,Carrera,Cuatrimestre,Periodo,Materia
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,1,Cuatrimestre 1,Inglés I
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,2,Cuatrimestre 2,Conmutación y Enrutamiento de Redes
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,2,Cuatrimestre 2,Cálculo Diferencial
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,2,Cuatrimestre 2,Habilidades Socioemocionales y Manejo de Conflictos
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,2,Cuatrimestre 2,Inglés II
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,2,Cuatrimestre 2,Probabilidad y Estadística
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,2,Cuatrimestre 2,Programación Estructurada
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,2,Cuatrimestre 2,Sistemas Operativos
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,3,Cuatrimestre 3,Bases de Datos
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,3,Cuatrimestre 3,Cálculo Integral
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,3,Cuatrimestre 3,Desarrollo del Pensamiento y Toma de Decisiones
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,3,Cuatrimestre 3,Inglés III
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,3,Cuatrimestre 3,Programación Orientada a Objetos
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,3,Cuatrimestre 3,Proyecto Integrador I
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,3,Cuatrimestre 3,Tópicos de Calidad para el Diseño de Software
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,4,Cuatrimestre 4,Aprendizaje Profundo Deep Learning
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,4,Cuatrimestre 4,Cálculo de Varias Variables
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,4,Cuatrimestre 4,Inglés IV
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,4,Cuatrimestre 4,Metodología No Code
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,4,Cuatrimestre 4,Sistemas Embebidos
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,4,Cuatrimestre 4,Sistemas de Optimización Inteligente
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,4,Cuatrimestre 4,Ética Profesional
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,5,Cuatrimestre 5,Aprendizaje de Máquina
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,5,Cuatrimestre 5,Ecuaciones Diferenciales
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,5,Cuatrimestre 5,Fundamentos de Visión por Computadora
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,5,Cuatrimestre 5,Inglés V
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,5,Cuatrimestre 5,Liderazgo de Equipos de Alto Desempeño
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,5,Cuatrimestre 5,Minería de Datos
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,5,Cuatrimestre 5,Proyecto Integrador II
